nofast,yesfast,nohappy,yeshappy,nosent,yessent,Class
0.3245,0,0.5798,0,0,0,-1
0,0,0,0,0.4037,0,-1
0,0,1.1596,0,0.4037,0.8808,-1
0.3245,0,0,0,0,0,-1
0,0,0,0,0.4037,0,-1
0,0,0.5798,0,0.4037,0,-1
0,0,0,0,0.8074,0,-1
0,0,0.5798,0,0,0,-1
0.9735,0,0,0,0,0,-1
0.3245,0,0,0,0,0,-1
0.3245,0,0,0,0.4037,0,-1
0.3245,0,0,0,0,0,-1
0,0,0,0,0.4037,0,-1
0.3245,0,0,0,0,0,-1
0,0,1.1596,0,0,0,-1
0.3245,0,0,0,0.4037,0,-1
0.649,0,0,0,0,0,-1
0.3245,0,0,0,0,0,-1
0.3245,0,0,0,0.4037,0,-1
0.3245,0,0,0,0,0,-1
0.649,0,0,0,0,0.8808,-1
0,0,1.1596,0,0,0,-1
0,1.7616,0,1.7616,0,0,1
0,0.8808,0,0.8808,0,0,1
0,1.7616,0,1.7616,0,0,1
0,1.7616,0,1.7616,0,0,1
0,0,0,0,0,0.8808,1
0,0.8808,0,0.8808,0,0,1
0,0,0,0,0,0.8808,1
